City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
211,Kavieng,PG,-2.5744,150.7967,81.18,74,92,3.04,light rain
212,Poum,NC,-20.2333,164.0167,80.98,81,16,14.94,few clouds
213,Dingle,PH,10.9995,122.6711,76.23,90,59,3.02,broken clouds
214,Ntcheu,MW,-14.8203,34.6359,66.31,96,90,2.62,moderate rain
215,Lyubech,UA,51.7026,30.6569,31.05,91,99,10.18,overcast clouds
216,Roebourne,AU,-20.7833,117.1333,84.56,60,78,10.76,broken clouds
217,Desaguadero,PE,-16.5656,-69.0417,53.8,60,98,4.32,overcast clouds
218,Wagar,SD,16.1525,36.2032,78.26,36,44,16.55,scattered clouds
219,Fairbanks,US,64.8378,-147.7164,-13.99,75,0,0.0,clear sky
220,Fortuna,US,40.5982,-124.1573,39.54,81,0,11.5,clear sky
221,Torbay,CA,47.6666,-52.7314,37.27,83,75,17.27,light rain
222,Boffa,GN,10.1667,-14.0333,96.51,48,12,14.05,few clouds
223,Saldanha,ZA,-33.0117,17.9442,87.85,73,2,24.05,clear sky
224,Cherskiy,RU,68.75,161.3,-21.08,100,83,2.3,broken clouds
225,Vredendal,ZA,-31.6683,18.5012,90.66,26,0,22.68,clear sky
226,Kyakhta,RU,50.3508,106.4494,-15.65,100,76,2.51,broken clouds
227,Erzin,TR,36.9559,36.2,48.72,78,69,6.29,broken clouds
228,Orcopampa,PE,-15.2661,-72.3417,56.19,50,65,6.13,broken clouds
229,Tubuala,PA,9.5167,-79.0333,89.33,67,35,13.09,scattered clouds
230,Muzhi,RU,65.3667,64.6667,-16.2,100,66,4.05,broken clouds
231,Saint Anthony,US,45.0205,-93.218,17.78,70,0,5.01,clear sky
232,Harper,LR,4.375,-7.7169,84.65,67,82,10.71,light rain
233,Sindou,BF,10.6667,-5.1667,97.07,9,7,8.39,clear sky
234,Chuy,UY,-33.6971,-53.4616,74.86,59,43,8.16,scattered clouds
235,Karatau,KZ,43.1667,70.4667,32.13,80,83,13.0,broken clouds
236,Mahebourg,MU,-20.4081,57.7,82.69,78,40,9.22,scattered clouds
237,Hovd,MN,48.0056,91.6419,-11.69,75,10,2.98,clear sky
238,Mapiri,BO,-15.25,-68.1667,85.23,54,87,2.77,overcast clouds
239,Sarh,TD,9.1429,18.3923,92.77,11,18,5.97,few clouds
240,Westport,US,41.1415,-73.3579,21.79,89,100,7.0,mist
241,Berlevag,NO,70.8578,29.0864,28.78,86,100,7.58,light snow
242,Grand Gaube,MU,-20.0064,57.6608,82.8,75,3,5.99,clear sky
243,Yulara,AU,-25.2406,130.9889,82.24,61,96,17.27,overcast clouds
244,Ampanihy,MG,-24.7,44.75,80.8,45,0,11.5,clear sky
245,Curup,ID,-3.4667,102.5333,69.3,98,100,0.96,overcast clouds
246,Port Blair,IN,11.6667,92.75,80.64,74,75,8.05,mist
247,Poopo,BO,-18.3667,-66.9667,52.57,67,100,4.27,overcast clouds
248,Bubaque,GW,11.2833,-15.8333,79.12,54,32,15.48,scattered clouds
249,Setermoen,NO,68.861,18.3486,21.16,86,100,8.97,overcast clouds
250,Diego De Almagro,CL,-26.3667,-70.05,76.46,26,0,9.06,clear sky
251,Hobyo,SO,5.3505,48.5268,77.88,72,99,21.88,overcast clouds
252,Ferme-Neuve,CA,46.7001,-75.4493,-11.42,73,51,7.23,broken clouds
253,Scarborough,GB,54.2797,-0.4044,51.37,66,23,5.99,few clouds
254,Mount Pleasant,US,32.7941,-79.8626,42.01,71,75,1.01,broken clouds
255,Kalabo,ZM,-14.97,22.6814,68.45,81,99,7.74,overcast clouds
256,Gizo,SB,-8.103,156.8419,82.02,76,96,5.01,light rain
257,Leningradskiy,RU,69.3833,178.4167,-3.21,84,84,4.52,broken clouds
258,Istok,XK,42.7808,20.4875,34.72,75,35,5.06,scattered clouds
259,Tautira,PF,-17.7333,-149.15,77.0,77,23,14.23,few clouds
260,Anamur,TR,36.0751,32.8369,49.46,70,98,7.9,overcast clouds
261,Kibala,TD,9.1104,18.3463,92.86,11,18,5.93,few clouds
