City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
165,Namibe,AO,73.9,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
166,Mani,CO,94.15,scattered clouds,4.8172,-72.2886,Hotel Belgrado
167,Coquimbo,CL,69.53,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
173,Ban Nahin,LA,75.4,overcast clouds,18.2418,104.2122,
177,Torit,SS,91.45,clear sky,4.4133,32.5678,Diplomat Guest House
179,Marsh Harbour,BS,60.35,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
180,Gorontalo,ID,73.81,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
185,Guerrero Negro,MX,62.64,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
186,East London,ZA,74.34,scattered clouds,-33.0153,27.9116,Tu Casa
187,Agadez,NE,69.33,clear sky,19.75,10.25,
189,Ixtapa,MX,79.36,clear sky,20.7,-105.2,Hotel Plaza Providencia
190,Port Lincoln,AU,64.42,few clouds,-34.7333,135.8667,Port Lincoln Hotel
193,Cravo Norte,CO,92.73,few clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
194,Ihosy,MG,77.72,clear sky,-22.4,46.1167,Hotely Sariaka
196,Bonthe,SL,83.86,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
197,Huarmey,PE,74.8,overcast clouds,-10.0681,-78.1522,Hotel Miramar
198,Puerto Escondido,MX,83.01,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
200,Sam Chuk,TH,85.06,overcast clouds,14.7576,100.0899,Samchuk Resort
201,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
202,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
206,Cidreira,BR,74.64,scattered clouds,-30.1811,-50.2056,Hotel Castelo
207,Manyana,BW,78.71,broken clouds,-23.4,21.7167,
209,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Mandurah,AU,78.22,scattered clouds,-32.55,115.7,Atrium Hotel Mandurah
211,Kavieng,PG,81.18,light rain,-2.5744,150.7967,Nusa Island Retreat
212,Poum,NC,80.98,few clouds,-20.2333,164.0167,
213,Dingle,PH,76.23,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
214,Ntcheu,MW,66.31,moderate rain,-14.8203,34.6359,Dear Executive Lodge
216,Roebourne,AU,84.56,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
218,Wagar,SD,78.26,scattered clouds,16.1525,36.2032,
223,Saldanha,ZA,87.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
225,Vredendal,ZA,90.66,clear sky,-31.6683,18.5012,Tharrakamma Guest House
229,Tubuala,PA,89.33,scattered clouds,9.5167,-79.0333,Río Nabagana
232,Harper,LR,84.65,light rain,4.375,-7.7169,Screensaver
234,Chuy,UY,74.86,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
236,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
238,Mapiri,BO,85.23,overcast clouds,-15.25,-68.1667,
239,Sarh,TD,92.77,few clouds,9.1429,18.3923,Domicile 1sur le goudron
242,Grand Gaube,MU,82.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
243,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
244,Ampanihy,MG,80.8,clear sky,-24.7,44.75,Angora Hotel
245,Curup,ID,69.3,overcast clouds,-3.4667,102.5333,Ayi The Costel
246,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
248,Bubaque,GW,79.12,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
250,Diego De Almagro,CL,76.46,clear sky,-26.3667,-70.05,hotel luna del desierto
251,Hobyo,SO,77.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
255,Kalabo,ZM,68.45,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
256,Gizo,SB,82.02,light rain,-8.103,156.8419,Imagination Island
259,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Pension Oaoa
261,Kibala,TD,92.86,few clouds,9.1104,18.3463,hotel safari
262,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
263,Kahului,US,71.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
264,Constitucion,CL,67.77,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
265,Kismayo,SO,78.17,broken clouds,-0.3582,42.5454,Agan-Hotel
268,Malakal,SS,83.34,clear sky,9.5334,31.6605,Nile Palace Hotel
271,Madang,PG,76.66,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
273,Rosarito,MX,61.41,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
274,Lucapa,AO,69.85,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
275,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
276,Puerto Del Rosario,ES,65.95,haze,28.5004,-13.8627,Hotel JM Puerto del Rosario
281,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
282,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
283,Arraial Do Cabo,BR,89.56,light rain,-22.9661,-42.0278,Pousada Porto Praia
285,Khanpur,PK,61.99,clear sky,28.6453,70.6567,Ahmad bartan store
287,Balanacan,PH,76.14,few clouds,13.5289,121.8677,Guisian Beach Resort
292,Paita,PE,79.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
293,Gamba,GA,80.19,broken clouds,-2.65,10.0,
295,Bongandanga,CD,93.15,broken clouds,1.5,21.05,
296,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
298,Praia Da Vitoria,PT,63.75,broken clouds,38.7333,-27.0667,Hotel Branco I
299,Black River,JM,80.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
302,Totoro,CO,60.24,overcast clouds,2.512,-76.4012,Mi posada Totoro
304,Charters Towers,AU,72.45,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
305,Salalah,OM,71.51,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
307,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
308,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
313,Biltine,TD,79.54,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
314,Karratha,AU,83.59,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
316,Camacha,PT,64.53,clear sky,33.0833,-16.3333,Hotel Porto Santo & Spa
317,Eyl,SO,76.26,overcast clouds,7.9803,49.8164,Amiin Hotel
318,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
319,Ponta Delgada,PT,64.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
320,Perth,AU,78.67,clear sky,-31.9333,115.8333,Beatty Lodge
321,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
322,Salinopolis,BR,74.79,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
324,Wanning,CN,66.6,broken clouds,18.8003,110.3967,Paradise Hotel
325,Auki,SB,77.68,light rain,-8.7676,160.7034,Auki Motel
331,Geraldton,AU,74.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
332,Padang,ID,77.61,moderate rain,-0.9492,100.3543,Mercure Padang
333,Moron,AR,84.02,clear sky,-34.6534,-58.6198,Hotel Morón
334,Thaba-Tseka,LS,70.0,broken clouds,-29.522,28.6084,Motherland Guesthouse
337,Najran,SA,74.05,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
338,Kamuli,UG,79.36,scattered clouds,0.9472,33.1197,Century Hotel Limited And laundry Services
341,Richards Bay,ZA,76.28,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
342,Muli,MV,81.79,broken clouds,2.9167,73.5667,Medhufushi Island Resort
343,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
344,Inongo,CD,84.31,broken clouds,-1.95,18.2667,Hotel Du Lac
346,Sambava,MG,78.69,light rain,-14.2667,50.1667,Melrose
